ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	CONCEPT_TYPE	FORM	TOKENS	OCCURRENCES	WORD_FORMS	GLOSS_FORMS	PHRASE_EXAMPLE	GLOSS_EXAMPLE	REFERENCES	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	CROSSID
1150	Qiang	LNK	LNK	grammar	wu	w u	1	de-mə-l-əs-te:-wu,	DIR-NEG-give-NOM-DEF:CL-LNK	“ʔũ tsi-lɑ-hɑn qɑ e: de-mə-l-əs-te:-wu,	2sg daugher-DEF:one-kind 1sg one:CL DIR-NEG-give-NOM-DEF:CL-LNK	276:4:5	6 7	AX	WY	1	1.W.C 1.Y.V	2.0 1.5	wu	1	204
1151	Qiang	LNK	LNK	grammar	tu118	t u	1	ɕe-kəi-tu,118	release-NAR-LNK	ɦɑ-tu khuə ɕe-kəi-tu,118 khuə ɕe-kəi-tu,	INT-RESULT dog release-NAR-LNK dog release-NAR-LNK	791:2:2	1 7	AX	TY	1	1.T.C 1.Y.V	2.0 1.5	tu	1	200
1152	Qiang	LNK	LNK	grammar	ʂɑ	ʂ ɑ	4	sə-tɕi-tɕ-ʂɑ,	DIR-CON-drink-LNK	a-thən sə-tɕi-tɕ-ʂɑ,	one-time DIR-CON-drink-LNK	1039:1:3 1051:8:2 1051:12:3 1053:1:2	3 7	AX	SA	1	1.S.C 1.A.V	2.0 1.5	ʂɑ	0	202
1153	Qiang	LNK	LNK	grammar	ȵiɑu	ȵ i ɑ u	1	tə-l̥əlɑ-ȵiɑu	DIR-change-LNK	fɑ tə-l̥əlɑ-ȵiɑu kəntɑu ŋuə-ȵi ɦɑ-tsəizzi-ŋuəȵi ɦɑlɑ mɑ: ȵɑ ɦɑ-lɑ-hɑn,	clothing DIR-change-LNK immediately COP-ADV INT-this:two:CL-TOP INT mama COM INT-DEF:one-kind	1275:1:2	4 7 7 7	AXYZ	NIAY	1	1.N.C 1.I.V 1.A.V 1.Y.V	2.0 1.5 1.3 0.8	ȵiɑu	0	201
817	Qiang	LNK(after)	LNK(after)	lexicon	pɑqtɑ	p ɑ q t ɑ	1	u-tɕyɑ-pɑqtɑ	DIR-see:1sg-LNK(after)	ɦɑ-thɑ-s-ʁɑ bəs-le: jopu-le: ʂqə-lɑ u-tɕyɑ-pɑqtɑ ɦɑtɑ tse:-ŋuəȵi,	INT-that:one-day-LOC snake-DEF:CL cliff-DEF:CL below-LOC DIR-see:1sg-LNK(after) INT this:CL-TOP	852:4:2	1 7 1 1 7	AXMBZ	PAKTA	1	1.P.C 1.A.V 1.K.c 1.T.C 1.A.V	2.0 1.5 1.1 1.75 0.8	pɑqtɑ	0	205
368	Qiang	LNK(as soon as)	LNK(as.soon.as)	lexicon	ȵiɑufu	ȵ i ɑ u f u	10	ɦɑ-xtʂəp-ȵiɑufu	DIR-get.dark-LNK(as.soon.as)	gəs-ȵi ɦɑ-xtʂəp-ȵiɑufu ʂkup-le: qɑ dzə-lɑ:,”	night-ADV DIR-get.dark-LNK(as.soon.as) orangutan-DEF:CL 1sg eat-come:PRS	147:1:2 225:2:2 228:0:2 239:3:2 241:1:2 259:0:2 263:1:2 267:0:2 1043:1:2 1276:6:2	4 7 7 7 3 7	AXYYBZ	NIAYBY	1	1.N.C 1.I.V 1.A.V 1.Y.V 1.B.C 1.Y.V	2.0 1.5 1.3 1.3 1.75 0.8	ȵiɑufu	0	206
1064	Qiang	LOC	LOC	grammar	ʁɑ	ʁ ɑ	58	qeʴlotʂu-ʁɑ,	in.the.past-LOC	zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,	earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC	1:3:1 21:1:2 41:2:1 48:1:1 64:2:1 211:2:2 211:5:2 298:2:2 356:2:3 388:1:2 393:1:2 395:0:2 424:4:2 496:1:1 501:0:2 524:7:1 528:2:1 528:7:2 555:1:3 556:3:3 581:0:2 592:0:2 597:0:2 601:0:2 609:5:1 642:2:2 661:1:3 662:3:1 663:0:2 691:6:2 718:6:4 721:1:2 724:1:1 726:0:1 763:0:2 790:0:2 792:3:1 794:0:2 813:1:1 852:0:3 860:2:3 861:0:3 869:1:2 911:1:3 933:0:2 938:0:2 980:1:3 1049:2:3 1069:12:2 1081:2:4 1090:1:2 1109:3:1 1149:0:3 1173:4:3 1193:2:2 1241:2:2 1242:1:4 1259:1:4	5 7	AX	RA	1	1.R.C 1.A.V	2.0 1.5	ʁɑ	1	207
1065	Qiang	LOC	LOC	grammar	lɑ	l ɑ	45	mutu-lɑ	heaven-LOC	mutu-lɑ mujuqů ʐguə-zi we-i,	heaven-LOC sun nine-CL exist-HS	2:0:1 20:2:1 22:0:1 39:3:1 44:1:1 46:4:1 64:0:1 76:1:1 89:2:1 104:1:1 108:0:1 111:1:1 212:2:3 226:2:1 263:2:1 301:3:1 302:0:3 304:0:1 304:3:1 306:1:1 334:0:1 360:0:1 394:4:1 422:2:1 460:3:1 461:1:1 464:2:1 531:0:1 664:1:1 704:3:2 730:4:1 737:1:1 754:2:2 782:5:2 798:1:1 852:3:1 869:0:1 869:1:1 911:4:1 996:3:2 1049:1:2 1184:1:1 1230:0:1 1231:0:1 1243:2:2	5 7	AX	LA	1	1.L.C 1.A.V	2.0 1.5	lɑ	1	208
1066	Qiang	LOC	LOC	grammar	tɑ	t ɑ	75	o-ʐgu-tɑ	one-CL-LOC	zuɑmə-ɸu o-ʐgu-tɑ i-pi-χuɑ-ȵi,	cypress-tree one-CL-LOC DIR-hide-because-ADV	5:1:2 7:0:1 10:0:2 13:2:3 25:6:1 27:0:1 28:1:1 31:2:3 33:1:3 38:0:1 39:1:1 41:0:1 43:1:1 49:1:1 50:4:3 51:4:3 53:0:3 63:2:1 66:4:1 126:2:1 217:1:3 222:3:2 225:1:2 257:1:2 262:1:2 263:3:2 377:1:1 382:1:2 383:0:2 386:0:2 396:0:1 406:2:1 424:2:2 425:0:2 438:0:1 438:2:2 464:0:1 464:4:4 465:1:4 468:2:2 519:4:3 524:4:2 528:9:2 546:7:3 594:2:3 609:2:3 615:4:2 632:1:3 641:0:1 648:2:3 729:3:1 780:2:2 851:4:2 894:1:2 904:1:2 914:0:3 915:3:4 916:1:4 941:1:1 996:4:2 999:4:2 1049:3:2 1069:13:3 1078:4:2 1166:1:5 1173:6:2 1173:8:2 1202:0:2 1246:1:3 1249:3:1 1251:5:2 1257:0:1 1258:0:1 1260:0:3 1270:0:3	1 7	AX	TA	1	1.T.C 1.A.V	2.0 1.5	tɑ	1	209
1067	Qiang	LOC	LOC	grammar	ʁa	ʁ a/ɑ	11	ʁza-ʁa,	time-LOC	thizzi kə ʁza-ʁa,	3dl go time-LOC	29:2:1 37:0:1 222:0:2 228:2:2 230:2:2 246:0:2 249:3:2 252:0:2 260:0:2 261:0:2 536:1:2	5 7	AX	RA	1	1.R.C 1.A.V	2.0 1.5	ʁa/ɑ	1	207
1068	Qiang	LOC	LOC	grammar	ʁə	ʁ ə	1	zɑ-ʁə	earth-LOC	thizzi zɑ-ʁə bəl-dʐə-wa-χuɑ-ȵi,	3dl earth-LOC do-able-very-because-ADV	54:1:1	5 7	AX	RE	1	1.R.C 1.E.V	2.0 1.5	ʁə	1	207
1069	Qiang	LOC	LOC	grammar	lə	l ə	7	tɕɑ-lə	where-LOC	χa-le:-ŋuəȵi tɕɑ-lə je-s ŋuə,	needle-DEF:CL-TOP where-LOC live/stay-NOM COP	207:1:1 208:0:1 208:1:1 209:0:1 209:1:1 229:1:1 665:0:1	5 7	AX	LE	1	1.L.C 1.E.V	2.0 1.5	lə	1	208
1070	Qiang	LOC	head:LOC	grammar	qəpɑtʂɑ:	q ə p ɑ ʈʂ ɑː	3	buzd-te:-qəpɑtʂɑ:	plank.stairs-DEF:CL-head:LOC	χsutsqhɑ-le:-ŋuəȵi buzd-te:-qəpɑtʂɑ: ɦɑ-nə-kui-tɕu,	stomach-DEF:CL-TOP plank.stairs-DEF:CL-head:LOC DIR-sleep-NAR-PART	216:1:2 218:2:2 264:2:0	1 7 1 7 2 7	AXBYBZ	KEPACA	1	1.K.C 1.E.V 1.P.C 1.A.V 1.C.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	qəpɑʈʂɑː	1	213
1071	Qiang	LOC	LOC	grammar	ʁɑ112	ʁ ɑ	1	tse:-tɕ-ʁɑ112	this:CL-GEN-LOC	tse:-tɕ-ʁɑ112 tɕiu tɕaitɕyelɑ.	this:CL-GEN-LOC †(then solved)	554:0:2	5 7	AX	RA	1	1.R.C 1.A.V	2.0 1.5	ʁɑ	1	207
1072	Qiang	LOC	where:LOC	grammar	tɕɑ:	tɕ ɑː	2	tɕɑ:	where:LOC	“ʔile tɕɑ: ka:-i-wɑ?”	2pl where:LOC go:PRS-2pl-Q	1082:1:0 1161:3:0	2 7	AX	CA	1	1.C.C 1.A.V	2.0 1.5	tɕɑː	1	209
1073	Qiang	LOC	where:LOC	grammar	tɕɑl	tɕ ɑ l	1	tɕɑl	where:LOC	tɕɑl kə mɑ-n-jy-ɑ,	where:LOC go NEG-know-ASP-1sg	1254:0:0	2 7 5	AXN	CAL	1	1.C.C 1.A.V 1.L.c	2.0 1.5 0.8	tɕɑl	1	209
852	Qiang	Likhemu	Likhemu	lexicon	likhemu	l i kʰ e m u	21	likhemu	Likhemu	ɦɑ-tu thɑnkhemu ȵɑ likhemu jə-ze wu tʂi pe-kui,	INT-RESULT Thɑnkhemu COM Likhemu two-CL all son become-NAR	931:3:0 968:0:0 969:1:0 1008:0:0 1031:1:0 1066:3:0 1073:3:0 1080:3:0 1097:3:0 1101:3:0 1109:2:0 1117:3:0 1124:2:0 1125:0:0 1138:0:0 1151:0:0 1226:0:0 1234:2:0 1246:7:0 1267:2:0 1276:2:0	5 7 1 7 4 7	AXBYBZ	LIKEMY	1	1.L.C 1.I.V 1.K.C 1.E.V 1.M.C 1.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	likʰemu	0	214
567	Qiang	Mama	Mama	lexicon	mɑ:	m ɑː	1	mɑ:-le:-wu	Mama-DEF:CL-AGT	ɦɑlɑ mɑ:-le:-wu ɑ-s-məqɑ-ŋuəȵi ɦɑthɑ ȵiu-ŋuəȵi ɑ-s pɑntɕin-wu pɑntɕin tə-tʂhə-ȵi ɦɑ-tsəi de-lde-ȵi110 ȵiu pɑtʂ de-lde-ȵi ɦɑlɑ,	INT Mama-DEF:CL-AGT one-day-each-TOP INT sheep.wool-TOP one-day half.catty-INST half.catty DIR-weigh-ADV INT-this.manner DIR-spin-ADV sheep.wool ball DIR-spin-ADV INT	375:1:0	4 7	AX	MA	1	1.M.C 1.A.V	2.0 1.5	mɑː	1	215
134	Qiang	Mupitha	Mupitha	lexicon	mupithɑ	m u p i tʰ ɑ	2	mupithɑ-ŋuəȵi,	Mupitha-TOP	ɑpə mupithɑ-ŋuəȵi,	father(god) Mupitha-TOP	26:1:0 43:3:0	4 7 1 7 1 7	AXBYBZ	MYPITA	1	1.M.C 1.Y.V 1.P.C 1.I.V 1.T.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	mupitʰɑ	0	216
131	Qiang	Mutsitʂu	Mutsitʂu	lexicon	mutsitʂu	m u ts i ʈʂ u	3	mutsitʂu	Mutsitʂu	mutsitʂu ȵɑ tugantʂu mutsitʂu ȵɑ tugantʂu zəpəq-tɑ ɦo-lu-ɑ:-ji.	Mutsitʂu COM Tugantʂu Mutsitʂu COM Tugantʂu earth-LOC DIR-come-PRS-CSM	25:0:0 25:3:0 40:0:0	4 7 2 7 2 7	AXBYBZ	MYCICY	1	1.M.C 1.Y.V 1.C.C 1.I.V 1.C.C 1.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	mutsiʈʂu	0	217
1194	Qiang	NAR	NAR	grammar	kəi	k ə i	167	i-phi-kəi,	DIR-plant-NAR	ɦɑ-ʁə-ȵi ʁopu ɦe-gi-s-tɑ i-phi-kəi,	DIR-go-ADV mountain DIR-low(short)-NOM-LOC DIR-plant-NAR	31:3:2 33:2:2 59:7:1 65:2:2 67:1:2 72:3:2 83:1:2 84:0:2 85:2:2 99:7:3 101:2:2 117:2:3 118:1:3 119:2:2 120:1:2 135:2:3 136:1:2 137:1:2 138:1:2 145:2:2 158:3:3 159:4:2 160:1:2 180:1:2 190:2:2 195:3:1 204:4:2 205:4:1 206:5:3 210:1:3 211:6:1 212:5:2 222:5:2 229:3:1 236:1:1 238:2:1 248:2:1 256:5:1 287:1:1 294:8:2 301:7:1 313:2:2 314:1:2 322:1:2 323:1:2 330:2:3 331:0:3 358:2:2 360:3:1 364:2:1 365:2:1 373:3:1 374:1:1 377:5:1 378:2:1 379:5:3 382:2:2 383:1:2 386:1:2 397:6:2 398:1:2 399:0:2 400:1:2 404:2:1 405:1:1 445:4:1 454:0:1 455:1:2 475:4:2 486:1:1 487:1:1 495:2:1 496:5:1 497:3:1 498:3:1 499:6:2 517:2:2 518:1:2 556:5:2 579:1:3 580:3:2 587:2:2 602:2:2 603:2:2 604:2:2 605:2:1 625:9:2 627:2:1 663:8:1 686:1:2 689:0:2 719:1:2 733:2:2 734:1:1 736:0:1 739:3:1 760:6:2 791:2:1 791:4:1 794:1:2 795:1:3 798:3:2 804:0:1 805:1:2 806:2:1 807:1:1 808:2:1 823:1:2 860:3:2 861:1:2 884:1:2 885:0:2 913:2:2 917:3:3 918:1:3 922:1:2 937:3:2 938:1:2 940:2:2 941:2:2 942:1:2 943:1:2 966:1:1 978:2:2 980:2:3 981:0:3 998:1:2 1001:1:2 1002:2:2 1005:2:2 1006:2:2 1007:1:2 1019:1:2 1020:0:2 1020:4:2 1028:3:2 1029:3:2 1030:2:2 1036:2:2 1037:2:3 1040:1:3 1046:1:2 1047:2:2 1048:1:2 1062:3:2 1063:2:2 1069:15:3 1071:3:1 1072:3:1 1079:7:2 1093:1:2 1094:0:2 1097:8:2 1101:7:2 1128:2:1 1152:2:1 1173:9:2 1190:9:2 1191:2:2 1204:2:2 1246:10:2 1256:1:1 1258:4:1 1263:1:2 1272:1:2 1273:0:2 1274:5:2	1 7 7	AXZ	KEI	1	1.K.C 1.E.V 1.I.V	2.0 1.5 0.8	kəi	0	218
1195	Qiang	NAR	NAR	grammar	ku	k u	31	de-se-ku,	DIR-sow-NAR	e-tʂequɑ de-tshe-ȵi lu-zu-lɑ-hɑ ʁopu ti-wi-s-tɑ de-se-ku,	DIR-remember DIR-wrong-ADV China.fir-seed-DEF:one-pl mountain DIR-high-NOM-LOC DIR-sow-NAR	50:5:2 51:5:2 196:1:3 481:0:3 483:10:1 512:1:1 535:2:1 536:5:2 537:3:1 544:0:1 547:2:1 562:1:1 563:4:1 566:0:1 571:3:2 590:2:2 595:2:1 674:9:2 687:4:1 728:5:1 769:3:3 787:1:1 813:3:1 1106:0:2 1107:3:2 1110:1:3 1111:7:2 1116:2:2 1197:2:1 1202:2:1 1203:5:1	1 7	AX	KY	1	1.K.C 1.Y.V	2.0 1.5	ku	1	218
1196	Qiang	NAR	NAR	grammar	kei	k e i	8	ŋuə-kei-tɕu,	COP-NAR-PART	kɑpətttʂ kou qe:ʴ-qe:ʴ-tu ɦɑlɑ kɑpətʂ kou ŋuə-kei-tɕu,	orphan INDEF:one:CL before-before-LNK INT orphan INDEF:one:CL COP-NAR-PART	58:6:1 100:4:4 179:4:2 257:3:1 720:1:2 722:2:2 958:1:2 1000:1:2	1 7 7	AXZ	KEI	1	1.K.C 1.E.V 1.I.V	2.0 1.5 0.8	kei	0	218
1197	Qiang	NAR	NAR	grammar	kui	k u i	218	kɑntɕhi-kui-tɕu,	think/want-NAR-PART	tu ɦɑlɑ ʂkup-le:-ŋuəȵi ɦɑ-tsu kɑpətʂ tou dzə kɑntɕhi-kui-tɕu,	RESULT INT orangutan-DEF:CL-TOP INT-here orphan DEF:one:CL eat think/want-NAR-PART	60:7:1 68:1:2 77:0:1 81:0:1 88:0:1 93:0:1 96:0:1 98:0:1 103:0:1 112:0:1 116:0:1 123:0:1 128:0:1 134:0:1 139:1:2 142:0:1 144:0:1 150:0:1 156:0:1 163:0:1 164:0:2 171:0:1 177:0:1 181:1:2 182:3:3 183:2:3 184:3:3 185:2:3 188:2:3 191:4:2 203:0:1 213:3:2 214:4:2 216:2:2 217:2:2 218:3:2 220:2:3 221:2:2 224:2:1 225:4:2 226:5:2 227:0:3 228:3:3 231:5:2 233:1:1 240:2:3 241:3:2 242:1:2 250:2:2 252:1:2 268:3:2 278:1:1 279:1:1 286:0:1 288:3:2 291:0:1 293:3:2 304:5:2 305:2:1 306:4:2 311:2:1 312:2:1 316:1:3 317:2:3 321:0:2 326:1:3 334:2:2 335:1:2 337:2:2 345:0:1 349:0:1 355:0:1 356:4:2 359:3:1 362:4:1 372:5:1 380:7:2 389:2:2 392:2:2 396:6:2 402:5:2 403:0:2 406:7:1 408:2:1 414:0:1 417:0:1 420:0:1 423:0:1 433:0:1 434:1:1 435:4:1 439:1:1 443:0:1 458:4:1 459:3:1 460:5:2 461:3:2 464:6:2 465:3:2 466:4:1 467:2:1 468:3:4 474:1:1 478:1:3 493:2:1 515:1:1 523:0:1 528:12:2 552:11:1 558:4:1 575:2:3 578:1:2 586:1:2 609:7:1 615:8:1 616:2:1 634:1:3 635:1:3 643:1:1 655:0:1 656:4:1 660:2:2 668:0:1 681:0:1 682:7:2 688:1:1 691:9:3 694:0:1 696:4:3 717:1:1 729:11:1 730:5:2 731:0:2 737:4:1 797:0:3 809:2:2 810:1:2 815:2:1 819:1:2 831:0:3 833:3:1 837:0:1 839:6:2 864:3:1 865:1:2 866:1:2 871:1:2 875:1:2 876:6:1 882:0:1 883:1:1 889:4:1 890:2:1 911:5:3 912:0:3 921:3:3 923:2:4 930:1:1 931:7:1 945:0:1 947:0:1 949:4:1 955:1:1 956:2:1 963:0:1 967:1:2 968:1:2 970:0:1 976:0:1 1003:2:2 1016:0:1 1017:1:1 1022:7:2 1025:1:2 1032:0:1 1045:5:1 1049:5:1 1050:1:1 1057:0:1 1059:1:2 1060:1:2 1085:0:1 1088:0:1 1096:3:1 1099:8:3 1100:3:2 1120:2:2 1127:1:1 1129:3:1 1133:0:1 1134:2:1 1136:0:1 1138:1:2 1145:1:1 1146:1:1 1156:2:3 1157:4:1 1165:2:4 1167:1:1 1168:1:1 1170:0:1 1172:0:1 1185:0:1 1187:0:1 1188:1:2 1189:2:2 1192:3:2 1193:0:2 1195:2:2 1196:2:2 1211:0:1 1212:1:1 1223:0:1 1224:1:2 1243:5:1 1244:2:1 1271:0:1 1276:10:2	1 7 7	AXZ	KYI	1	1.K.C 1.Y.V 1.I.V	2.0 1.5 0.8	kui	0	218
1198	Qiang	NAR	NAR	grammar	tɕi	tɕ i	1	sə-mə-qɑ-tɕi	DIR-NEG-go-NAR	ɦɑ-tu tʂi-le:-ŋuəȵi tʂhɑq-tɑ sə-mə-qɑ-tɕi ŋuəȵi dʑy-le: wəstɑ xʂuɕtɕu-kui.	INT-RESULT son-DEF:CL-TOP market-LOC DIR-NEG-go-NAR INT door-DEF:CL behind listen-NAR	406:3:3	2 7	AX	CI	1	1.C.C 1.I.V	2.0 1.5	tɕi	1	222
1199	Qiang	NAR	NAR	grammar	kuɑ	k u ɑ	3	ŋuə-kuɑ-ji,	COP-NAR-HS	ɦɑ-lɑ-hɑn ŋuə-kuɑ-ji,	INT-DEF:one-kind COP-NAR-HS	560:1:1 561:6:1 685:8:1	1 7 7	AXZ	KYA	1	1.K.C 1.Y.V 1.A.V	2.0 1.5 0.8	kuɑ	0	218
1200	Qiang	NAR	NAR	grammar	kuai	k u a/ɑ i	2	we-kuai.	exist-NAR	ɦa-ka:-ʁɑ stuɑhɑ tɕhə-s ɦɑ-kɑ-hɑn lez tə-ʁə-s-le: we-kuai.	INT-INDEF:one:CL-LOC food eat-NOM INT-INDEF:one-kind fate/destiny DIR-go-NOM-DEF:CL exist-NAR	763:6:1 767:1:3	1 7 7 7	AXYZ	KYAI	1	1.K.C 1.Y.V 1.A.V 1.I.V	2.0 1.5 1.3 0.8	kua/ɑi	0	218
1201	Qiang	NAR	NAR	grammar	kuə	k u ə	1	ŋuə-kuə-wɑ.	COP-NAR-EMPH	χuɑn-tɕhiɑnmeʴ-le: thɑ-hɑn ɦɑ-ke ŋuə-kuə-wɑ.	Huang-Qianmen-DEF:CL that:one-kind INT-thus COP-NAR-EMPH	772:3:1	1 7 7	AXZ	KYE	1	1.K.C 1.Y.V 1.E.V	2.0 1.5 0.8	kuə	1	218
1127	Qiang	NEG	NEG	grammar	mu	m u	2	ɦo-mu-xtɕu-wei.	DIR-NEG-burn-HS	ɦo-mu-xtɕu-wei.	DIR-NEG-burn-HS	6:0:1 1163:2:1	4 7	AX	MY	1	1.M.C 1.Y.V	2.0 1.5	mu	0	223
1128	Qiang	NEG	NEG	grammar	mɑ	m ɑ	27	mɑ-ŋ̥u̥ə̥	NEG-COP	ɣlu-le: mi qes mɑ-ŋ̥u̥ə̥ ke: i-ɕi.	younger.sister-DEF:CL people form NEG-COP INDEF:CL DIR-release	18:3:0 94:2:0 125:2:0 152:1:0 173:1:0 200:2:0 299:1:0 313:2:0 322:1:0 583:2:0 603:2:0 604:2:0 703:3:0 733:2:0 826:4:0 828:2:0 851:6:0 858:4:0 877:3:0 892:1:0 897:1:0 954:2:0 956:1:0 1030:2:0 1051:12:0 1091:2:0 1254:2:0	4 7	AX	MA	1	1.M.C 1.A.V	2.0 1.5	mɑ	1	223
1129	Qiang	NEG	NEG	grammar	mo	m o	8	mo-ʁu-χuɑ-ȵi,	NEG-willing-because-ADV	thizzi-ŋuəȵi qe:ʴ-tɑ ɑpə mupithɑ thizzi oqpi pə-ʐ mo-ʁu-χuɑ-ȵi,	3dl-TOP before-LOC god Mupitha 3dl one:family do-CAUS NEG-willing-because-ADV	43:7:0 194:2:0 195:1:0 204:3:0 205:3:0 753:1:1 921:3:0 1091:1:0	4 7	AX	MU	1	1.M.C 1.U.V	2.0 1.5	mo	1	223
1130	Qiang	NEG	NEG	grammar	me	m e	46	me-ʐi	NEG-exist	ep lə me-ʐi ew lə me-ʐi ke: ŋuə-kəi-tɕu,	father also NEG-exist mother also NEG-exist INDEF:CL COP-NAR-PART	59:2:0 59:5:0 79:2:0 89:4:0 94:4:0 104:3:0 105:2:0 106:2:0 107:1:0 114:1:0 124:6:0 124:9:0 131:1:0 146:3:0 146:6:0 153:1:0 166:3:0 166:6:0 174:1:0 200:1:1 239:3:0 254:2:0 255:3:0 341:1:0 466:3:1 467:0:1 492:3:1 724:3:0 724:4:0 795:1:1 797:0:1 800:3:1 881:4:1 892:2:1 897:2:1 901:4:0 926:1:0 1011:3:1 1037:2:1 1095:4:0 1109:6:0 1164:2:1 1220:1:1 1241:4:1 1252:0:0 1266:0:0	4 7	AX	ME	1	1.M.C 1.E.V	2.0 1.5	me	0	223
1131	Qiang	NEG	NEG	grammar	mə	m ə	10	de-mə-l-əs-te:-wu,	DIR-NEG-give-NOM-DEF:CL-LNK	“ʔũ tsi-lɑ-hɑn qɑ e: de-mə-l-əs-te:-wu,	2sg daugher-DEF:one-kind 1sg one:CL DIR-NEG-give-NOM-DEF:CL-LNK	276:4:1 330:2:1 331:0:1 343:1:1 348:1:1 351:0:1 406:3:1 854:4:1 858:3:1 921:2:1	4 7	AX	ME	1	1.M.C 1.E.V	2.0 1.5	mə	1	223
1132	Qiang	NEG	NEG	grammar	ma	m a/ɑ	2	ma-qaʴ,	NEG-ought:1pl	ʔũ ȵɑ qɑ quəquɑ ma-qaʴ,	2sg COM 1sg fight NEG-ought:1pl	960:4:0 961:4:0	4 7	AX	MA	1	1.M.C 1.A.V	2.0 1.5	ma/ɑ	0	223
215	Qiang	NEG IMP	NEG.IMP	lexicon	tɕe	tɕ e	1	tɕe-tse-ʂu.”	NEG.IMP-look-DTV	“ʔile gue:ʴ-tɑ-ŋuəȵi hɑ-l-ȵi mutu-lɑ tɕe-tse-ʂu.”	2pl road-LOC-TOP DIR-look-ADV heaven-LOC NEG.IMP-look-DTV	39:4:0	2 7	AX	CE	1	1.C.C 1.E.V	2.0 1.5	tɕe	0	224
216	Qiang	NEG IMP	NEG.IMP	lexicon	tɕo	tɕ o	1	tɕo-qu-n-pɑ,	NEG.IMP-be.afraid-2sg-DTV	“maha tɕo-qu-n-pɑ,	night NEG.IMP-be.afraid-2sg-DTV	197:1:0	2 7	AX	CU	1	1.C.C 1.U.V	2.0 1.5	tɕo	0	224
217	Qiang	NEG IMP	NEG.IMP	lexicon	tɕu	tɕ u	1	do-tɕu-qu-n-pɑ,	DIR-NEG.IMP-be.afraid-2sg-DTV	do-tɕu-qu-n-pɑ,	DIR-NEG.IMP-be.afraid-2sg-DTV	198:0:1	2 7	AX	CY	1	1.C.C 1.Y.V	2.0 1.5	tɕu	0	224
218	Qiang	NEG IMP	NEG.IMP	lexicon	tɕɑ	tɕ ɑ	1	tɕɑ-tɕhi-n-pɑ,”	NEG.IMP-drink-2sg-DVT	ʔũ tɕɑ-tɕhi-n-pɑ,”	2sg NEG.IMP-drink-2sg-DVT	1015:1:0	2 7	AX	CA	1	1.C.C 1.A.V	2.0 1.5	tɕɑ	0	224
219	Qiang	NEG IMP	NEG.IMP	lexicon	tɕi	tɕ i	1	ɦa-tɕi-ʁu-n,	DIR-NEG.IMP-throw-2sg	tu qap ɦa-tɕi-ʁu-n,	RESULT head DIR-NEG.IMP-throw-2sg	1052:2:1	2 7	AX	CI	1	1.C.C 1.I.V	2.0 1.5	tɕi	1	224
1133	Qiang	NOM	NOM	grammar	s	s	47	peʴʐə-s	raise(child)-NOM	steke-tɑ mi peʴʐə-s ŋuə-χuɑ-ȵi,	later-LOC people raise(child)-NOM COP-because-ADV	7:2:1 12:2:1 13:2:2 31:2:2 33:1:2 50:4:2 51:4:2 53:0:2 207:2:1 208:2:1 209:3:1 425:0:1 438:2:1 458:3:1 459:1:1 464:4:3 465:1:3 519:4:2 546:7:2 581:8:2 584:1:2 648:2:2 656:1:1 685:6:1 706:7:2 706:8:2 707:2:1 710:4:2 757:1:1 763:2:1 763:5:2 780:2:1 784:4:1 785:2:1 829:2:1 854:4:3 873:4:1 999:4:1 1023:1:1 1069:13:2 1149:1:1 1153:1:1 1173:6:1 1246:1:2 1251:5:1 1260:0:2 1270:0:2	3	A	S	1	1.S.C	2.0	s	1	225
1134	Qiang	NOM	NOM	grammar	m	m	38	ʐi-m	exist-NOM	pitɕ phu-ʁɑ ʐi-m phuxʂu pe-wei.	now forest-LOC exist-NOM wild.animals become-HS	48:2:1 304:4:2 306:3:2 342:1:2 363:0:2 463:5:1 496:2:2 498:0:2 513:2:1 520:2:1 520:4:1 567:8:1 573:3:2 651:1:1 652:1:1 659:4:1 660:1:1 663:4:2 691:4:2 724:3:2 774:2:2 792:7:1 864:2:2 876:4:2 911:3:2 915:3:2 916:1:2 923:1:2 1064:2:1 1069:6:1 1071:1:1 1072:1:1 1079:5:1 1166:1:2 1243:3:1 1246:2:1 1268:0:2 1270:1:1	4	A	M	1	1.M.C	2.0	m	1	226
1135	Qiang	NOM	NOM	grammar	əs	ə s	3	de-mə-l-əs-te:-wu,	DIR-NEG-give-NOM-DEF:CL-LNK	“ʔũ tsi-lɑ-hɑn qɑ e: de-mə-l-əs-te:-wu,	2sg daugher-DEF:one-kind 1sg one:CL DIR-NEG-give-NOM-DEF:CL-LNK	276:4:3 583:1:2 786:4:2	7 3	XN	ES	1	1.E.V 1.S.c	1.5 0.8	əs	0	225
